국가명,국가코드KOICA,국가코드DAC,국가코드ISO_numeric,국가코드ISO_alpha2,국가코드ISO_alpha3
영국,7757,010,826,GB,GBR
오만,2571,558,512,OM,OMN
오스트레일리아,6139,871,036,AU,AUS
오스트리아,7142,011,040,AT,AUT
왈리스푸트나,6781,876,876,WF,WLF
요르단,2412,549,400,JO,JOR
우간다,3751,285,800,UG,UGA
우루과이,5760,460,858,UY,URY
우즈베키스탄,7763,617,860,UZ,UZB
우크라이나,7754,085,804,UA,UKR
이라크,2391,543,368,IQ,IRQ
이스라엘,2400,546,376,IL,ISR
이집트,3292,142,818,EG,EGY
이탈리아,7403,012,380,IT,ITA
인도,1382,645,356,IN,IND
인도네시아,1385,738,360,ID,IDN
일본,1409,701,392,JP,JPN
조지아,7328,612,268,GE,GEO
중국,1238,730,156,CN,CHN
지브랄타,7337,035,292,GI,GIB
체코,7274,068,203,CZ,CZE
칠레,5235,434,152,CL,CHL
카메룬,3211,229,120,CM,CMR
카자흐스탄,7415,613,398,KZ,KAZ
카타르,2607,561,634,QA,QAT
캄보디아,1208,728,116,KH,KHM
캐나다,4214,302,124,CA,CAN
케냐,3418,248,404,KE,KEN
케이만군도,5220,386,136,KY,CYM
코트디부아르,3262,247,384,CI,CIV
콜롬비아,5247,437,170,CO,COL
콩고 민주공화국,3793,235,180,CD,COD
쿠웨이트,2427,552,414,KW,KWT
크로아티아,7265,062,191,HR,HRV
키르기스스탄,7430,614,417,KG,KGZ
탄자니아,3715,282,834,TZ,TZA
터크스카이코스,5742,387,796,TC,TCA
터키,7736,055,792,TR,TUR
토켈라우군도,6724,868,772,TK,TKL
튀니지,3733,139,788,TN,TUN
트리니다드토바고,5730,375,780,TT,TTO
파라과이,5586,451,600,PY,PRY
파키스탄,1574,665,586,PK,PAK
팔레스타인,2578,550,275,PS,PSE
페루,5589,454,604,PE,PER
포르투갈,7601,012,620,PT,PRT
포클랜드,5307,443,238,FK,FLK
폴란드,7598,076,616,PL,POL
프랑스,7315,013,250,FR,FRA
프랑스령폴리네시아,6319,840,258,PF,PYF
피지,6310,832,242,FJ,FJI
핀란드,7313,014,246,FI,FIN
필리핀,1592,755,608,PH,PHL
헝가리,7376,075,348,HU,HUN
홍콩,1373,735,344,HK,HKG
